sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
323,3240252458,11020000083,11020252541,252458
324,3250247583,11030000083,11030247666,247583
325,3260249708,11040000083,11040249791,249708
326,3270243958,11050000083,11050244041,243958
327,3280243458,11060000083,11060243541,243458
328,3290243250,11070000083,11070243333,243250
329,3300244208,11080000083,11080244291,244208
330,3310248375,11090000083,11090248458,248375
331,3320248750,11100000083,11100248833,248750
332,3330244166,11110000083,11110244250,244167
333,3340243958,11120000083,11120244041,243958
334,3350245500,11130000083,11130245583,245500
335,3360246750,11140000083,11140246833,246750
336,3370243625,11150000083,11150243708,243625
337,3380243125,11160000083,11160243208,243125
338,3390244083,11170000083,11170244166,244083
339,3400243583,11180000083,11180243666,243583
340,3410245708,11190000083,11190245791,245708
341,3420246666,11200000083,11200246750,246667
342,3430244125,11210000083,11210244208,244125
343,3440243916,11220000083,11220244000,243917
344,3450243708,11230000083,11230243791,243708
345,3460244666,11240000083,11240244750,244667
346,3470245041,11250000083,11250245125,245042
347,3480243666,11260000083,11260243750,243667
348,3490243750,11270000083,11270243833,243750
349,3500244416,11280000083,11280244500,244417
350,3510242750,11290000083,11290242833,242750
351,3520248375,11300000083,11300248458,248375
352,3530253125,11310000083,11310253208,253125
353,3540244458,11320000083,11320244541,244458
354,3550244250,11330000083,11330244333,244250
355,3560245791,11340000083,11340245875,245792
356,3570243833,11350000083,11350243916,243833
357,3580243625,11360000083,11360243708,243625
358,3590244000,11370000083,11370244083,244000
359,3600244083,11380000083,11380244166,244083
360,3610247083,11390000083,11390247166,247083
361,3620245708,11400000083,11400245791,245708
362,3630245791,11410000083,11410245875,245792
363,3640249375,11420000083,11420249458,249375
364,3650248000,11430000083,11430248083,248000
365,3660248666,11440000083,11440248750,248667
366,3670250208,11450000083,11450250291,250208
367,3680250291,11460000083,11460250375,250292
368,3690249500,11470000083,11470249583,249500
369,3700249291,11480000083,11480249375,249292
370,3710769416,11490000083,11490769500,769417
371,3720245083,11500000083,11500245166,245083
372,3730248958,11510000083,11510249041,248958
373,3740247000,11520000083,11520247083,247000
374,3750244750,11530000083,11530244833,244750
375,3760246000,11540000083,11540246083,246000
376,3770245500,11550000083,11550245583,245500
377,3780243250,11560000083,11560243333,243250
378,3790246250,11570000083,11570246333,246250
379,3800244875,11580000083,11580244958,244875
380,3810243791,11590000083,11590243875,243792
381,3820245625,11600000083,11600245708,245625
382,3830246583,11610000083,11610246666,246583
383,3840246375,11620000083,11620246458,246375
384,3850250833,11630000083,11630250916,250833
385,3860249166,11640000083,11640249250,249167
386,3870250708,11650000083,11650250791,250708
387,3880249916,11660000083,11660250000,249917
388,3890250291,11670000083,11670250375,250292
389,3900249791,11680000083,11680249875,249792
390,3910597541,11690000083,11690597625,597542
391,3920244125,11700000083,11700244208,244125
392,3930245375,11710000083,11710245458,245375
393,3940247208,11720000083,11720247291,247208
394,3950245250,11730000083,11730245333,245250
395,3960241833,11740000083,11740241916,241833
396,3970249208,11750000083,11750249291,249208
397,3980246375,11760000083,11760246458,246375
398,3990244125,11770000083,11770244208,244125
399,4000244208,11780000083,11780244291,244208
400,4010245458,11790000083,11790245541,245458
401,4020244958,11800000083,11800245041,244958
402,4030243583,11810000083,11810243666,243583
403,4040243666,11820000083,11820243750,243667
404,4050243166,11830000083,11830243250,243167
405,4060248208,11840000083,11840248291,248208
406,4070245958,11850000083,11850246041,245958
407,4080247500,11860000083,11860247583,247500
408,4090249041,11870000083,11870249125,249042
409,4100247958,11880000083,11880248041,247958
410,4110250958,11890000083,11890251041,250958
411,4120249291,11900000083,11900249375,249292
412,4130248791,11910000083,11910248875,248792
413,4140251208,11920000083,11920251291,251208
414,4150492208,11930000083,11930492291,492208
415,4160284333,11940000083,11940284416,284333
416,4170245625,11950000083,11950245708,245625
417,4180246583,11960000083,11960246666,246583
418,4190246375,11970000083,11970246458,246375
419,4200244125,11980000083,11980244208,244125
420,4210245375,11990000083,11990245458,245375
421,4220245750,12000000083,12000245833,245750
422,4230246125,12010000083,12010246208,246125
423,4240247375,12020000083,12020247458,247375
424,4250247458,12030000083,12030247541,247458
425,4260248125,12040000083,12040248208,248125
426,4270251708,12050000083,12050251791,251708
427,4280249458,12060000083,12060249541,249458
428,4290249833,12070000083,12070249916,249833
429,4300467208,12080000083,12080467291,467208
430,4310300458,12090000083,12090300541,300458
431,4320246875,12100000083,12100246958,246875
432,4330246375,12110000083,12110246458,246375
433,4340245875,12120000083,12120245958,245875
434,4350245958,12130000083,12130246041,245958
435,4360246041,12140000083,12140246125,246042
436,4370246125,12150000083,12150246208,246125
437,4380247375,12160000083,12160247458,247375
438,4390244833,12170000083,12170244916,244833
439,4400245500,12180000083,12180245583,245500
440,4410253458,12190000083,12190253541,253458
441,4420246250,12200000083,12200246333,246250
442,4430246916,12210000083,12210247000,246917
443,4440245541,12220000083,12220245625,245542
444,4450245333,12230000083,12230245416,245333
445,4460632458,12240000083,12240632541,632458
446,4470253666,12250000083,12250253750,253667
447,4480245291,12260000083,12260245375,245292
448,4490245666,12270000083,12270245750,245667
449,4500245166,12280000083,12280245250,245167
450,4510246125,12290000083,12290246208,246125
451,4520245041,12300000083,12300245125,245042
452,4530246875,12310000083,12310246958,246875
453,4540247833,12320000083,12320247916,247833
454,4550246458,12330000083,12330246541,246458
455,4560511958,12340000083,12340512041,511958
456,4570248666,12350000083,12350248750,248667
457,4580256916,12360000083,12360257000,256917
458,4590251750,12370000083,12370251833,251750
459,4600252708,12380000083,12380252791,252708
460,4610244916,12390000083,12390245000,244917
461,4620243541,12400000083,12400243625,243542
462,4630244208,12410000083,12410244291,244208
463,4640249250,12420000083,12420249333,249250
464,4650248166,12430000083,12430248250,248167
465,4660246791,12440000083,12440246875,246792
466,4670245416,12450000083,12450245500,245417
467,4680243750,12460000083,12460243833,243750
468,4690244125,12470000083,12470244208,244125
469,4700246833,12480000083,12480246916,246833
470,4710244583,12490000083,12490244666,244583
471,4720244375,12500000083,12500244458,244375
472,4730244166,12510000083,12510244250,244167
473,4740243083,12520000083,12520243166,243083
474,4750245791,12530000083,12530245875,245792
475,4760247625,12540000083,12540247708,247625
476,4770249166,12550000083,12550249250,249167
477,4780249541,12560000083,12560249625,249542
478,4790250208,12570000083,12570250291,250208
